distance,timestamp,enhanced_altitude,enhanced_speed,gps_accuracy,position_lat,position_long,speed,heart_rate
0.0,2022-06-10 14:25:37,,,,,,,
,2022-06-10 14:25:37,178.39999999999998,0.983,2.0,207754344.0,1226267082.0,0.983,
,2022-06-10 14:25:37,178.39999999999998,0.99,2.0,207754384.0,1226267089.0,0.99,
,2022-06-10 14:25:38,178.39999999999998,1.164,1.0,207754497.0,1226267113.0,1.164,
,2022-06-10 14:25:39,178.39999999999998,1.2,1.0,207754621.0,1226267147.0,1.2,
,2022-06-10 14:25:40,178.39999999999998,1.21,1.0,207754745.0,1226267187.0,1.21,
0.0,2022-06-10 14:25:41,178.39999999999998,1.189,1.0,207754867.0,1226267230.0,1.189,
,2022-06-10 14:25:42,178.39999999999998,1.136,1.0,207754984.0,1226267277.0,1.136,
,2022-06-10 14:25:43,178.39999999999998,1.085,1.0,207755095.0,1226267325.0,1.085,
3.87,2022-06-10 14:25:44,178.39999999999998,1.012,1.0,207755197.0,1226267375.0,1.012,91.0
,2022-06-10 14:25:45,178.20000000000005,0.924,1.0,207755290.0,1226267426.0,0.924,
7.06,2022-06-10 14:25:46,178.20000000000005,0.9,1.0,207755376.0,1226267476.0,0.9,
,2022-06-10 14:25:47,178.39999999999998,0.933,1.0,207755463.0,1226267525.0,0.933,
,2022-06-10 14:25:48,178.39999999999998,0.931,1.0,207755555.0,1226267568.0,0.931,
8.87,2022-06-10 14:25:49,178.20000000000005,0.929,1.0,207755648.0,1226267606.0,0.929,93.0
,2022-06-10 14:25:50,178.20000000000005,0.877,1.0,207755740.0,1226267639.0,0.877,
11.65,2022-06-10 14:25:51,178.20000000000005,0.872,1.0,207755830.0,1226267669.0,0.872,
,2022-06-10 14:25:52,178.20000000000005,0.872,1.0,207755920.0,1226267700.0,0.872,
,2022-06-10 14:25:53,178.20000000000005,0.947,1.0,207756014.0,1226267732.0,0.947,
12.82,2022-06-10 14:25:54,178.20000000000005,0.982,1.0,207756113.0,1226267767.0,0.982,94.0
,2022-06-10 14:25:55,178.20000000000005,1.104,1.0,207756219.0,1226267805.0,1.104,
,2022-06-10 14:25:56,178.20000000000005,1.178,1.0,207756336.0,1226267847.0,1.178,
16.43,2022-06-10 14:25:57,178.20000000000005,1.149,1.0,207756455.0,1226267888.0,1.149,
,2022-06-10 14:25:58,178.20000000000005,1.042,1.0,207756568.0,1226267925.0,1.042,
18.62,2022-06-10 14:25:59,178.20000000000005,1.059,1.0,207756677.0,1226267957.0,1.059,94.0
,2022-06-10 14:26:00,178.20000000000005,1.103,1.0,207756789.0,1226267990.0,1.103,
,2022-06-10 14:26:01,178.20000000000005,1.222,1.0,207756910.0,1226268026.0,1.222,
21.61,2022-06-10 14:26:02,178.20000000000005,1.306,1.0,207757038.0,1226268074.0,1.306,
,2022-06-10 14:26:03,178.20000000000005,1.337,1.0,207757169.0,1226268134.0,1.337,
25.17,2022-06-10 14:26:04,178.20000000000005,1.282,1.0,207757297.0,1226268198.0,1.282,95.0
,2022-06-10 14:26:05,178.20000000000005,1.287,1.0,207757422.0,1226268261.0,1.287,95.0
,2022-06-10 14:26:06,178.20000000000005,1.364,1.0,207757550.0,1226268326.0,1.364,
27.81,2022-06-10 14:26:07,178.20000000000005,1.226,1.0,207757676.0,1226268391.0,1.226,
,2022-06-10 14:26:08,178.20000000000005,1.274,1.0,207757790.0,1226268465.0,1.274,
32.0,2022-06-10 14:26:09,178.20000000000005,1.262,1.0,207757898.0,1226268554.0,1.262,
,2022-06-10 14:26:10,178.20000000000005,1.22,1.0,207758005.0,1226268637.0,1.22,
,2022-06-10 14:26:11,178.20000000000005,1.194,1.0,207758120.0,1226268703.0,1.194,
34.96,2022-06-10 14:26:12,178.20000000000005,1.298,1.0,207758246.0,1226268749.0,1.298,
,2022-06-10 14:26:13,178.20000000000005,1.381,1.0,207758388.0,1226268782.0,1.381,97.0
,2022-06-10 14:26:14,178.20000000000005,1.167,1.0,207758523.0,1226268806.0,1.167,
38.53,2022-06-10 14:26:15,178.20000000000005,0.888,1.0,207758633.0,1226268825.0,0.888,97.0
,2022-06-10 14:26:16,178.20000000000005,0.961,1.0,207758730.0,1226268848.0,0.961,
40.88,2022-06-10 14:26:17,178.20000000000005,1.042,1.0,207758835.0,1226268876.0,1.042,
,2022-06-10 14:26:18,178.20000000000005,1.132,1.0,207758950.0,1226268904.0,1.132,
,2022-06-10 14:26:19,178.20000000000005,1.226,1.0,207759075.0,1226268933.0,1.226,
43.53,2022-06-10 14:26:20,178.20000000000005,1.276,1.0,207759207.0,1226268966.0,1.276,
,2022-06-10 14:26:21,178.20000000000005,1.148,1.0,207759332.0,1226269009.0,1.148,
,2022-06-10 14:26:22,178.20000000000005,1.099,1.0,207759446.0,1226269058.0,1.099,
,2022-06-10 14:26:23,178.20000000000005,1.185,1.0,207759562.0,1226269108.0,1.185,
,2022-06-10 14:26:24,178.20000000000005,1.295,1.0,207759691.0,1226269155.0,1.295,
49.67,2022-06-10 14:26:25,178.39999999999998,1.467,1.0,207759838.0,1226269202.0,1.467,94.0
,2022-06-10 14:26:26,178.39999999999998,1.592,1.0,207759999.0,1226269255.0,1.592,95.0
52.95,2022-06-10 14:26:27,178.39999999999998,1.64,1.0,207760169.0,1226269310.0,1.64,
,2022-06-10 14:26:28,178.39999999999998,1.455,1.0,207760332.0,1226269360.0,1.455,
,2022-06-10 14:26:29,178.39999999999998,1.617,1.0,207760493.0,1226269408.0,1.617,
57.18,2022-06-10 14:26:30,178.39999999999998,1.462,1.0,207760655.0,1226269453.0,1.462,
,2022-06-10 14:26:31,178.39999999999998,1.698,1.0,207760820.0,1226269503.0,1.698,97.0
61.39,2022-06-10 14:26:32,178.20000000000005,1.564,1.0,207760988.0,1226269559.0,1.564,
,2022-06-10 14:26:33,178.20000000000005,1.806,1.0,207761163.0,1226269613.0,1.806,
,2022-06-10 14:26:34,178.20000000000005,1.681,1.0,207761345.0,1226269665.0,1.681,
66.4,2022-06-10 14:26:35,178.20000000000005,2.145,1.0,207761542.0,1226269732.0,2.145,
,2022-06-10 14:26:36,178.20000000000005,2.156,1.0,207761758.0,1226269818.0,2.156,
,2022-06-10 14:26:37,178.20000000000005,2.11,1.0,207761970.0,1226269913.0,2.11,
72.02,2022-06-10 14:26:38,178.20000000000005,2.187,1.0,207762184.0,1226270007.0,2.187,
,2022-06-10 14:26:39,178.20000000000005,2.202,1.0,207762406.0,1226270095.0,2.202,103.0
