distance,timestamp,altitude,calories,enhanced_altitude,heart_rate,position_lat,position_long,cadence,fractional_cadence,enhanced_speed,power,speed
0.0,2024-09-21 20:30:00,,,,,,,,,,,
0.93,2024-09-21 20:30:01,6.399999999999977,0.0,6.399999999999977,104.0,163751209.0,1199714844.0,,,,,
1.86,2024-09-21 20:30:02,6.399999999999977,0.0,6.399999999999977,,163751210.0,1199714843.0,,,,,
2.79,2024-09-21 20:30:03,6.399999999999977,0.0,6.399999999999977,,163751211.0,1199714843.0,,,,,
3.72,2024-09-21 20:30:04,6.399999999999977,0.0,6.399999999999977,,163751213.0,1199714844.0,,,,,
4.65,2024-09-21 20:30:05,6.399999999999977,0.0,6.399999999999977,,163751218.0,1199714847.0,,,,,
5.57,2024-09-21 20:30:06,6.399999999999977,0.0,6.399999999999977,106.0,163751222.0,1199714855.0,,,,,
6.5,2024-09-21 20:30:07,6.399999999999977,0.0,6.399999999999977,,163751224.0,1199714875.0,,,,,
7.43,2024-09-21 20:30:08,6.399999999999977,0.0,6.399999999999977,,163751217.0,1199714931.0,,,,,
8.36,2024-09-21 20:30:09,6.399999999999977,0.0,6.399999999999977,109.0,163751196.0,1199715021.0,,,,,
9.29,2024-09-21 20:30:10,,0.0,,,,,,,,,
,2024-09-21 20:31:50,,,,,,,,,,,
,2024-09-21 20:31:51,,0.0,,,,,,,,,
9.29,2024-09-21 20:31:52,4.399999999999977,0.0,4.399999999999977,,163728018.0,1199730550.0,176.0,0.0,,,
15.49,2024-09-21 20:31:53,4.399999999999977,0.0,4.399999999999977,,163727611.0,1199730454.0,176.0,0.0,,,
21.69,2024-09-21 20:31:54,4.199999999999989,0.0,4.199999999999989,,163727207.0,1199730355.0,176.0,0.0,,,
27.9,2024-09-21 20:31:55,4.199999999999989,0.0,4.199999999999989,159.0,163726808.0,1199730254.0,82.0,0.0,3.15,221.0,3.15
